"DateObject[{2009, 1, 1}, ""Day""]",46706
"DateObject[{2009, 1, 2}, ""Day""]",52162
"DateObject[{2009, 1, 3}, ""Day""]",50653
"DateObject[{2009, 1, 4}, ""Day""]",51510
"DateObject[{2009, 1, 5}, ""Day""]",58677
"DateObject[{2009, 1, 6}, ""Day""]",59427
"DateObject[{2009, 1, 7}, ""Day""]",58981
"DateObject[{2009, 1, 8}, ""Day""]",57977
"DateObject[{2009, 1, 9}, ""Day""]",57579
"DateObject[{2009, 1, 10}, ""Day""]",53543
"DateObject[{2009, 1, 11}, ""Day""]",51174
"DateObject[{2009, 1, 12}, ""Day""]",56999
"DateObject[{2009, 1, 13}, ""Day""]",55931
"DateObject[{2009, 1, 14}, ""Day""]",57207
"DateObject[{2009, 1, 15}, ""Day""]",55878
"DateObject[{2009, 1, 16}, ""Day""]",53732
"DateObject[{2009, 1, 17}, ""Day""]",49370
"DateObject[{2009, 1, 18}, ""Day""]",49573
"DateObject[{2009, 1, 19}, ""Day""]",56872
"DateObject[{2009, 1, 20}, ""Day""]",56219
"DateObject[{2009, 1, 21}, ""Day""]",56908
"DateObject[{2009, 1, 22}, ""Day""]",55808
"DateObject[{2009, 1, 23}, ""Day""]",54105
"DateObject[{2009, 1, 24}, ""Day""]",50294
"DateObject[{2009, 1, 25}, ""Day""]",49655
"DateObject[{2009, 1, 26}, ""Day""]",55263
"DateObject[{2009, 1, 27}, ""Day""]",56223
"DateObject[{2009, 1, 28}, ""Day""]",55425
"DateObject[{2009, 1, 29}, ""Day""]",55732
"DateObject[{2009, 1, 30}, ""Day""]",54325
"DateObject[{2009, 1, 31}, ""Day""]",50413
"DateObject[{2009, 2, 1}, ""Day""]",51350
"DateObject[{2009, 2, 2}, ""Day""]",57148
"DateObject[{2009, 2, 3}, ""Day""]",56945
"DateObject[{2009, 2, 4}, ""Day""]",57094
"DateObject[{2009, 2, 5}, ""Day""]",56498
"DateObject[{2009, 2, 6}, ""Day""]",55469
"DateObject[{2009, 2, 7}, ""Day""]",51236
"DateObject[{2009, 2, 8}, ""Day""]",50735
"DateObject[{2009, 2, 9}, ""Day""]",56723
"DateObject[{2009, 2, 10}, ""Day""]",55874
"DateObject[{2009, 2, 11}, ""Day""]",56104
"DateObject[{2009, 2, 12}, ""Day""]",56356
"DateObject[{2009, 2, 13}, ""Day""]",53085
"DateObject[{2009, 2, 14}, ""Day""]",49197
"DateObject[{2009, 2, 15}, ""Day""]",47417
"DateObject[{2009, 2, 16}, ""Day""]",52673
"DateObject[{2009, 2, 17}, ""Day""]",52166
"DateObject[{2009, 2, 18}, ""Day""]",52117
"DateObject[{2009, 2, 19}, ""Day""]",51789
"DateObject[{2009, 2, 20}, ""Day""]",50414
"DateObject[{2009, 2, 21}, ""Day""]",45781
"DateObject[{2009, 2, 22}, ""Day""]",46162
"DateObject[{2009, 2, 23}, ""Day""]",51889
"DateObject[{2009, 2, 24}, ""Day""]",51537
"DateObject[{2009, 2, 25}, ""Day""]",51750
"DateObject[{2009, 2, 26}, ""Day""]",51481
"DateObject[{2009, 2, 27}, ""Day""]",48929
"DateObject[{2009, 2, 28}, ""Day""]",45415
"DateObject[{2009, 3, 1}, ""Day""]",45812
"DateObject[{2009, 3, 2}, ""Day""]",52159
"DateObject[{2009, 3, 3}, ""Day""]",53115
"DateObject[{2009, 3, 4}, ""Day""]",52469
"DateObject[{2009, 3, 5}, ""Day""]",53338
"DateObject[{2009, 3, 6}, ""Day""]",50607
"DateObject[{2009, 3, 7}, ""Day""]",45663
"DateObject[{2009, 3, 8}, ""Day""]",46011
"DateObject[{2009, 3, 9}, ""Day""]",52692
"DateObject[{2009, 3, 10}, ""Day""]",51890
"DateObject[{2009, 3, 11}, ""Day""]",51571
"DateObject[{2009, 3, 12}, ""Day""]",50612
"DateObject[{2009, 3, 13}, ""Day""]",48451
"DateObject[{2009, 3, 14}, ""Day""]",44273
"DateObject[{2009, 3, 15}, ""Day""]",43745
"DateObject[{2009, 3, 16}, ""Day""]",49185
"DateObject[{2009, 3, 17}, ""Day""]",49411
"DateObject[{2009, 3, 18}, ""Day""]",48451
"DateObject[{2009, 3, 19}, ""Day""]",48869
"DateObject[{2009, 3, 20}, ""Day""]",46617
"DateObject[{2009, 3, 21}, ""Day""]",42626
"DateObject[{2009, 3, 22}, ""Day""]",41946
"DateObject[{2009, 3, 23}, ""Day""]",49422
"DateObject[{2009, 3, 24}, ""Day""]",49654
"DateObject[{2009, 3, 25}, ""Day""]",49194
"DateObject[{2009, 3, 26}, ""Day""]",48852
"DateObject[{2009, 3, 27}, ""Day""]",47097
"DateObject[{2009, 3, 28}, ""Day""]",44269
"DateObject[{2009, 3, 29}, ""Day""]",42568
"DateObject[{2009, 3, 30}, ""Day""]",45693
"DateObject[{2009, 3, 31}, ""Day""]",45292
"DateObject[{2009, 4, 1}, ""Day""]",44376
"DateObject[{2009, 4, 2}, ""Day""]",44432
"DateObject[{2009, 4, 3}, ""Day""]",44434
"DateObject[{2009, 4, 4}, ""Day""]",38644
"DateObject[{2009, 4, 5}, ""Day""]",39011
"DateObject[{2009, 4, 6}, ""Day""]",44320
"DateObject[{2009, 4, 7}, ""Day""]",43257
"DateObject[{2009, 4, 8}, ""Day""]",43160
"DateObject[{2009, 4, 9}, ""Day""]",43494
"DateObject[{2009, 4, 10}, ""Day""]",38488
"DateObject[{2009, 4, 11}, ""Day""]",36249
"DateObject[{2009, 4, 12}, ""Day""]",35233
"DateObject[{2009, 4, 13}, ""Day""]",37440
"DateObject[{2009, 4, 14}, ""Day""]",41688
"DateObject[{2009, 4, 15}, ""Day""]",42928
"DateObject[{2009, 4, 16}, ""Day""]",43261
"DateObject[{2009, 4, 17}, ""Day""]",43934
"DateObject[{2009, 4, 18}, ""Day""]",37111
"DateObject[{2009, 4, 19}, ""Day""]",37374
"DateObject[{2009, 4, 20}, ""Day""]",42166
"DateObject[{2009, 4, 21}, ""Day""]",42274
"DateObject[{2009, 4, 22}, ""Day""]",41793
"DateObject[{2009, 4, 23}, ""Day""]",42191
"DateObject[{2009, 4, 24}, ""Day""]",42356
"DateObject[{2009, 4, 25}, ""Day""]",36595
"DateObject[{2009, 4, 26}, ""Day""]",36533
"DateObject[{2009, 4, 27}, ""Day""]",44576
"DateObject[{2009, 4, 28}, ""Day""]",43736
"DateObject[{2009, 4, 29}, ""Day""]",42644
"DateObject[{2009, 4, 30}, ""Day""]",43391
"DateObject[{2009, 5, 1}, ""Day""]",41985
"DateObject[{2009, 5, 2}, ""Day""]",35505
"DateObject[{2009, 5, 3}, ""Day""]",34577
"DateObject[{2009, 5, 4}, ""Day""]",38604
"DateObject[{2009, 5, 5}, ""Day""]",43601
"DateObject[{2009, 5, 6}, ""Day""]",43105
"DateObject[{2009, 5, 7}, ""Day""]",42689
"DateObject[{2009, 5, 8}, ""Day""]",42836
"DateObject[{2009, 5, 9}, ""Day""]",36431
"DateObject[{2009, 5, 10}, ""Day""]",35909
"DateObject[{2009, 5, 11}, ""Day""]",41949
"DateObject[{2009, 5, 12}, ""Day""]",42457
"DateObject[{2009, 5, 13}, ""Day""]",43487
"DateObject[{2009, 5, 14}, ""Day""]",43685
"DateObject[{2009, 5, 15}, ""Day""]",43679
"DateObject[{2009, 5, 16}, ""Day""]",37181
"DateObject[{2009, 5, 17}, ""Day""]",37389
"DateObject[{2009, 5, 18}, ""Day""]",43446
"DateObject[{2009, 5, 19}, ""Day""]",43627
"DateObject[{2009, 5, 20}, ""Day""]",42782
"DateObject[{2009, 5, 21}, ""Day""]",42601
"DateObject[{2009, 5, 22}, ""Day""]",41625
"DateObject[{2009, 5, 23}, ""Day""]",35585
"DateObject[{2009, 5, 24}, ""Day""]",33726
"DateObject[{2009, 5, 25}, ""Day""]",35904
"DateObject[{2009, 5, 26}, ""Day""]",40576
"DateObject[{2009, 5, 27}, ""Day""]",42394
"DateObject[{2009, 5, 28}, ""Day""]",41250
"DateObject[{2009, 5, 29}, ""Day""]",40854
"DateObject[{2009, 5, 30}, ""Day""]",35120
"DateObject[{2009, 5, 31}, ""Day""]",33639
"DateObject[{2009, 6, 1}, ""Day""]",41614
"DateObject[{2009, 6, 2}, ""Day""]",41836
"DateObject[{2009, 6, 3}, ""Day""]",41658
"DateObject[{2009, 6, 4}, ""Day""]",41005
"DateObject[{2009, 6, 5}, ""Day""]",41328
"DateObject[{2009, 6, 6}, ""Day""]",36298
"DateObject[{2009, 6, 7}, ""Day""]",35805
"DateObject[{2009, 6, 8}, ""Day""]",41773
"DateObject[{2009, 6, 9}, ""Day""]",42551
"DateObject[{2009, 6, 10}, ""Day""]",42441
"DateObject[{2009, 6, 11}, ""Day""]",41934
"DateObject[{2009, 6, 12}, ""Day""]",40839
"DateObject[{2009, 6, 13}, ""Day""]",35346
"DateObject[{2009, 6, 14}, ""Day""]",34030
"DateObject[{2009, 6, 15}, ""Day""]",41879
"DateObject[{2009, 6, 16}, ""Day""]",41772
"DateObject[{2009, 6, 17}, ""Day""]",43042
"DateObject[{2009, 6, 18}, ""Day""]",41559
"DateObject[{2009, 6, 19}, ""Day""]",41075
"DateObject[{2009, 6, 20}, ""Day""]",35371
"DateObject[{2009, 6, 21}, ""Day""]",34293
"DateObject[{2009, 6, 22}, ""Day""]",41917
"DateObject[{2009, 6, 23}, ""Day""]",42385
"DateObject[{2009, 6, 24}, ""Day""]",41854
"DateObject[{2009, 6, 25}, ""Day""]",42123
"DateObject[{2009, 6, 26}, ""Day""]",42053
"DateObject[{2009, 6, 27}, ""Day""]",35715
"DateObject[{2009, 6, 28}, ""Day""]",34772
"DateObject[{2009, 6, 29}, ""Day""]",42611
"DateObject[{2009, 6, 30}, ""Day""]",43208
"DateObject[{2009, 7, 1}, ""Day""]",43816
"DateObject[{2009, 7, 2}, ""Day""]",44025
"DateObject[{2009, 7, 3}, ""Day""]",43650
"DateObject[{2009, 7, 4}, ""Day""]",35646
"DateObject[{2009, 7, 5}, ""Day""]",34416
"DateObject[{2009, 7, 6}, ""Day""]",42101
"DateObject[{2009, 7, 7}, ""Day""]",42340
"DateObject[{2009, 7, 8}, ""Day""]",42013
"DateObject[{2009, 7, 9}, ""Day""]",41378
"DateObject[{2009, 7, 10}, ""Day""]",40841
"DateObject[{2009, 7, 11}, ""Day""]",35403
"DateObject[{2009, 7, 12}, ""Day""]",34554
"DateObject[{2009, 7, 13}, ""Day""]",42047
"DateObject[{2009, 7, 14}, ""Day""]",42302
"DateObject[{2009, 7, 15}, ""Day""]",42450
"DateObject[{2009, 7, 16}, ""Day""]",42017
"DateObject[{2009, 7, 17}, ""Day""]",42074
"DateObject[{2009, 7, 18}, ""Day""]",35619
"DateObject[{2009, 7, 19}, ""Day""]",35228
"DateObject[{2009, 7, 20}, ""Day""]",41501
"DateObject[{2009, 7, 21}, ""Day""]",42810
"DateObject[{2009, 7, 22}, ""Day""]",42153
"DateObject[{2009, 7, 23}, ""Day""]",41341
"DateObject[{2009, 7, 24}, ""Day""]",40833
"DateObject[{2009, 7, 25}, ""Day""]",34313
"DateObject[{2009, 7, 26}, ""Day""]",34485
"DateObject[{2009, 7, 27}, ""Day""]",41292
"DateObject[{2009, 7, 28}, ""Day""]",40956
"DateObject[{2009, 7, 29}, ""Day""]",41904
"DateObject[{2009, 7, 30}, ""Day""]",40703
"DateObject[{2009, 7, 31}, ""Day""]",39905
